,"(mm) Precipitation (CHIRPS) at Anuradhapura, 2007-01-01 to 2025-12-31"
"2019-07-23",0.3512
"2019-07-24",0
"2019-07-25",0
"2019-07-26",0.022
"2019-07-27",0.0248
"2019-07-28",0
"2019-07-29",1.4143
"2019-07-30",0
"2019-07-31",2.2903
"2019-08-01",3.0087
"2019-08-02",0.9928
"2019-08-03",0
"2019-08-04",0.002
"2019-08-05",6.8595
"2019-08-06",3.8525
"2019-08-07",3.4948
"2019-08-08",7.9366
"2019-08-09",0.0877
"2019-08-10",0
"2019-08-11",0
"2019-08-12",0.0275
"2019-08-13",1.8538
"2019-08-14",0
"2019-08-15",0.1287
"2019-08-16",18.5785
"2019-08-17",4.5482
"2019-08-18",8.4004
"2019-08-19",1.872
"2019-08-20",0
"2019-08-21",0
"2019-08-22",2.8335
"2019-08-23",0.3842
"2019-08-24",0.0182
"2019-08-25",0.1396
"2019-08-26",0.024
"2019-08-27",0
"2019-08-28",0
"2019-08-29",0.0681
"2019-08-30",0.0276
"2019-08-31",0.4286
"2019-09-01",5.4119
"2019-09-02",0.308
"2019-09-03",0.0953
"2019-09-04",4.014
"2019-09-05",1.9885
"2019-09-06",0
"2019-09-07",0
"2019-09-08",0
"2019-09-09",0.0002
"2019-09-10",0.2382
"2019-09-11",15.0222
"2019-09-12",12.0153
"2019-09-13",15.7071
"2019-09-14",17.2923
"2019-09-15",13.1214
"2019-09-16",3.1212
"2019-09-17",0.021
"2019-09-18",3.7638
"2019-09-19",7.2683
"2019-09-20",8.2832
"2019-09-21",2.4224
"2019-09-22",11.7006
"2019-09-23",12.0732
"2019-09-24",3.149
"2019-09-25",2.3301
"2019-09-26",0
"2019-09-27",8.9271
"2019-09-28",7.6393
"2019-09-29",13.7013
"2019-09-30",7.0347
"2019-10-01",1.9014
"2019-10-02",0.5068
"2019-10-03",5.5995
"2019-10-04",8.4591
"2019-10-05",5.556
"2019-10-06",16.1505
"2019-10-07",5.7242
"2019-10-08",3.9264
"2019-10-09",9.3116
"2019-10-10",11.99
"2019-10-11",14.1332
"2019-10-12",4.471
"2019-10-13",4.0421
"2019-10-14",0.2833
"2019-10-15",9.1586
"2019-10-16",15.3703
"2019-10-17",11.1808
"2019-10-18",7.4017
"2019-10-19",10.6333
"2019-10-20",28.4082
"2019-10-21",22.4785
"2019-10-22",6.0777
"2019-10-23",17.3466
"2019-10-24",9.4874
"2019-10-25",6.1178
"2019-10-26",14.6402
"2019-10-27",33.1002
"2019-10-28",18.1755
"2019-10-29",13.2819
"2019-10-30",6.9816
"2019-10-31",2.0508
"2019-11-01",0.117
"2019-11-02",1.938
"2019-11-03",9.3768
"2019-11-04",0.518
"2019-11-05",0.9404
"2019-11-06",0
"2019-11-07",1.1104
"2019-11-08",9.5269
"2019-11-09",2.8055
"2019-11-10",5.0495
"2019-11-11",2.4355
"2019-11-12",0.606
"2019-11-13",1.3362
"2019-11-14",1.1651
"2019-11-15",8.4231
"2019-11-16",11.4291
"2019-11-17",0.13
"2019-11-18",1.5291
"2019-11-19",6.8884
"2019-11-20",0.3198
"2019-11-21",4.2724
"2019-11-22",14.2885
"2019-11-23",6.691
"2019-11-24",6.6053
"2019-11-25",15.9708
"2019-11-26",0.1796
"2019-11-27",22.0364
"2019-11-28",19.6913
"2019-11-29",60.2322
"2019-11-30",50.0653
"2019-12-01",9.4243
"2019-12-02",64.225
"2019-12-03",30.0274
"2019-12-04",57.4218
"2019-12-05",44.2088
"2019-12-06",5.9859
"2019-12-07",0.3843
"2019-12-08",0.2266
"2019-12-09",4.95
"2019-12-10",20.9258
"2019-12-11",0
"2019-12-12",0
"2019-12-13",0.0617
"2019-12-14",21.2655
"2019-12-15",2.6967
"2019-12-16",0
"2019-12-17",10.8808
"2019-12-18",9.7191
"2019-12-19",2.2389
"2019-12-20",19.5772
"2019-12-21",4.696
"2019-12-22",28.8213
"2019-12-23",6.7187
"2019-12-24",0
"2019-12-25",0.8892
"2019-12-26",0
"2019-12-27",0
"2019-12-28",0
"2019-12-29",1.3349
"2019-12-30",2.1125
"2019-12-31",0.4302
"2020-01-01",0
"2020-01-02",2.3917
"2020-01-03",0
"2020-01-04",0
"2020-01-05",0
"2020-01-06",0
"2020-01-07",0.1687
"2020-01-08",0
"2020-01-09",0
"2020-01-10",0
"2020-01-11",4.8817
"2020-01-12",0
"2020-01-13",0
"2020-01-14",0
"2020-01-15",0
"2020-01-16",0
"2020-01-17",0
"2020-01-18",0
"2020-01-19",0
"2020-01-20",0
"2020-01-21",0
"2020-01-22",1.324
"2020-01-23",0
"2020-01-24",0
"2020-01-25",0
"2020-01-26",1.8247
"2020-01-27",0
"2020-01-28",0.3552
"2020-01-29",1.0146
"2020-01-30",0.5856
"2020-01-31",2.5773
"2020-02-01",0
"2020-02-02",0
"2020-02-03",0
"2020-02-04",0
"2020-02-05",0.0348
"2020-02-06",0
"2020-02-07",0.126
"2020-02-08",0.0103
"2020-02-09",0
"2020-02-10",0.5574
"2020-02-11",0
"2020-02-12",0
"2020-02-13",0
"2020-02-14",0
"2020-02-15",0
"2020-02-16",0
"2020-02-17",0
"2020-02-18",0
"2020-02-19",0
"2020-02-20",2.3996
"2020-02-21",9.9304
"2020-02-22",0.5532
"2020-02-23",0.02
"2020-02-24",0
"2020-02-25",0
"2020-02-26",0
"2020-02-27",0
"2020-02-28",0
"2020-02-29",0
"2020-03-01",0.0736
"2020-03-02",0
"2020-03-03",0
"2020-03-04",0.0583
"2020-03-05",0.1558
"2020-03-06",0.6216
"2020-03-07",2.1388
"2020-03-08",0
"2020-03-09",0
"2020-03-10",0
"2020-03-11",0
"2020-03-12",0
"2020-03-13",0
"2020-03-14",0
"2020-03-15",0
"2020-03-16",2.2314
"2020-03-17",3.1118
"2020-03-18",2.6441
"2020-03-19",0.2077
"2020-03-20",0.3221
"2020-03-21",0
"2020-03-22",0.1684
"2020-03-23",0.0359
"2020-03-24",0
"2020-03-25",0.0007
"2020-03-26",0
"2020-03-27",0
"2020-03-28",0
"2020-03-29",1.607
"2020-03-30",0
"2020-03-31",0
"2020-04-01",0
"2020-04-02",0
"2020-04-03",0
"2020-04-04",7.0936
"2020-04-05",0.9566
"2020-04-06",0.691
"2020-04-07",0.6216
"2020-04-08",1.0072
"2020-04-09",1.4399
"2020-04-10",5.0974
"2020-04-11",0.2122
"2020-04-12",1.2576
"2020-04-13",2.3368
"2020-04-14",3.3093
"2020-04-15",0.7184
"2020-04-16",1.2182
"2020-04-17",3.8946
"2020-04-18",3.4484
"2020-04-19",2.0363
"2020-04-20",0
"2020-04-21",6.7372
"2020-04-22",7.708
"2020-04-23",6.8402
"2020-04-24",1.993
"2020-04-25",6.859
"2020-04-26",3.7201
"2020-04-27",2.752
"2020-04-28",2.2301
"2020-04-29",4.3293
"2020-04-30",9.9131
"2020-05-01",4.6014
"2020-05-02",0
"2020-05-03",0.1787
"2020-05-04",4.6245
"2020-05-05",6.0855
"2020-05-06",9.5339
"2020-05-07",17.5525
"2020-05-08",14.8409
"2020-05-09",19.6618
"2020-05-10",20.8849
"2020-05-11",11.9663
"2020-05-12",6.4572
"2020-05-13",9.6189
"2020-05-14",2.4243
"2020-05-15",14.5181
"2020-05-16",22.5571
"2020-05-17",18.3527
"2020-05-18",12.4502
"2020-05-19",1.3059
"2020-05-20",0
"2020-05-21",0.3885
"2020-05-22",0.3733
"2020-05-23",4.4548
"2020-05-24",4.4494
"2020-05-25",5.1115
"2020-05-26",0.1336
"2020-05-27",0.9307
"2020-05-28",0
"2020-05-29",0.3195
"2020-05-30",0.1298
"2020-05-31",0.9807
"2020-06-01",1.751
"2020-06-02",0.0934
"2020-06-03",0.0344
"2020-06-04",0.0242
"2020-06-05",0.4508
"2020-06-06",0.0124
"2020-06-07",1.6621
"2020-06-08",0.075
"2020-06-09",0.0214
"2020-06-10",2.2567
"2020-06-11",0.0352
"2020-06-12",0.0539
"2020-06-13",0.0258
"2020-06-14",0.0431
"2020-06-15",0.0164
"2020-06-16",0.2109
"2020-06-17",0
"2020-06-18",0
"2020-06-19",0.4399
"2020-06-20",0.0021
"2020-06-21",0.1761
"2020-06-22",0
"2020-06-23",0.6672
"2020-06-24",0.6835
"2020-06-25",0.5121
"2020-06-26",0.0391
"2020-06-27",0
"2020-06-28",0
"2020-06-29",1.808
"2020-06-30",0.2458
"2020-07-01",0
"2020-07-02",3.838
"2020-07-03",5.5241
"2020-07-04",7.5901
"2020-07-05",0.3557
"2020-07-06",0.6943
"2020-07-07",0.3424
"2020-07-08",7.835
"2020-07-09",9.8804
"2020-07-10",4.0317
"2020-07-11",0.5865
"2020-07-12",0
"2020-07-13",14.5607
"2020-07-14",1.7436
"2020-07-15",4.0792
"2020-07-16",0.8509
"2020-07-17",1.7165
"2020-07-18",1.7409
"2020-07-19",4.5985
"2020-07-20",4.7543
"2020-07-21",0
"2020-07-22",0.9301
"2020-07-23",1.3648
"2020-07-24",0
"2020-07-25",0
"2020-07-26",8.0284
"2020-07-27",21.0314
"2020-07-28",22.6499
"2020-07-29",1.1367
"2020-07-30",0
"2020-07-31",0
"2020-08-01",0.3701
"2020-08-02",0.0055
"2020-08-03",0.4796
"2020-08-04",3.797
"2020-08-05",0.3928
"2020-08-06",0.1836
"2020-08-07",0
"2020-08-08",1.0381
"2020-08-09",3.7194
"2020-08-10",0
"2020-08-11",0
"2020-08-12",0
"2020-08-13",0.0387
"2020-08-14",0.8208
"2020-08-15",1.564
"2020-08-16",0.7446
"2020-08-17",0.0382
"2020-08-18",0
"2020-08-19",0.0165
"2020-08-20",0
"2020-08-21",0
"2020-08-22",0.0036
"2020-08-23",0
"2020-08-24",0.1204
"2020-08-25",0
"2020-08-26",0.6754
"2020-08-27",0.3947
"2020-08-28",0.0724
"2020-08-29",0.0979
"2020-08-30",6.8689
"2020-08-31",4.1405
"2020-09-01",10.8344
"2020-09-02",10.6609
"2020-09-03",2.3748
"2020-09-04",2.1855
"2020-09-05",12.6373
"2020-09-06",15.2849
"2020-09-07",0.0257
"2020-09-08",0.9414
"2020-09-09",21.3853
"2020-09-10",18.2396
"2020-09-11",0.2235
"2020-09-12",6.4642
"2020-09-13",16.3519
"2020-09-14",0.2839
"2020-09-15",4.311
"2020-09-16",0.3225
"2020-09-17",0.6138
"2020-09-18",2.1628
"2020-09-19",1.6355
"2020-09-20",1.2153
"2020-09-21",3.3104
"2020-09-22",0.8523
"2020-09-23",0
"2020-09-24",14.126
"2020-09-25",16.7509
"2020-09-26",0
"2020-09-27",1.2004
"2020-09-28",13.8346
"2020-09-29",7.9841
"2020-09-30",0.0875
"2020-10-01",1.829
"2020-10-02",0
"2020-10-03",0.0275
"2020-10-04",0
"2020-10-05",0
"2020-10-06",3.303
"2020-10-07",0.0226
"2020-10-08",3.7925
"2020-10-09",0.3583
"2020-10-10",4.0766
"2020-10-11",3.7512
"2020-10-12",1.2825
"2020-10-13",0.0375
"2020-10-14",0.0007
"2020-10-15",0.0402
"2020-10-16",0.0095
"2020-10-17",5.8752
"2020-10-18",7.4958
"2020-10-19",0.0763
"2020-10-20",0.0105
"2020-10-21",0.2236
"2020-10-22",0
"2020-10-23",0
"2020-10-24",0.0104
"2020-10-25",8.7227
"2020-10-26",8.6841
"2020-10-27",7.0342
"2020-10-28",4.5912
"2020-10-29",3.0956
"2020-10-30",7.2445
"2020-10-31",4.244
"2020-11-01",7.9991
"2020-11-02",3.0669
"2020-11-03",9.4748
"2020-11-04",12.4397
"2020-11-05",9.9005
"2020-11-06",1.4397
"2020-11-07",0.0004
"2020-11-08",25.3928
"2020-11-09",79.2758
"2020-11-10",20.1279
"2020-11-11",9.0571
"2020-11-12",8.2981
"2020-11-13",4.4393
"2020-11-14",8.836
"2020-11-15",2.3318
"2020-11-16",25.4268
"2020-11-17",14.9409
"2020-11-18",2.3871
"2020-11-19",0
"2020-11-20",11.2253
"2020-11-21",4.9151
"2020-11-22",15.0865
"2020-11-23",11.7077
"2020-11-24",18.2078
"2020-11-25",15.0206
"2020-11-26",0
"2020-11-27",4.052
"2020-11-28",0
"2020-11-29",0
"2020-11-30",0.1145
"2020-12-01",25.4245
"2020-12-02",71.5406
"2020-12-03",21.5415
"2020-12-04",8.659
"2020-12-05",21.8703
"2020-12-06",17.3708
"2020-12-07",0.8014
"2020-12-08",2.8814
"2020-12-09",0.719
"2020-12-10",0
"2020-12-11",0
"2020-12-12",4.0621
"2020-12-13",0
"2020-12-14",1.3228
"2020-12-15",0.4259
"2020-12-16",0.0096
"2020-12-17",2.8912
"2020-12-18",15.8162
"2020-12-19",5.7341
"2020-12-20",20.708
"2020-12-21",19.2765
"2020-12-22",22.8014
"2020-12-23",11.8278
"2020-12-24",0.3554
"2020-12-25",0.118
"2020-12-26",0
"2020-12-27",37.6604
"2020-12-28",27.3931
"2020-12-29",0.174
"2020-12-30",1.5361
"2020-12-31",22.8741
"2021-01-01",0.4996
"2021-01-02",0.3422
"2021-01-03",9.5514
"2021-01-04",22.7811
"2021-01-05",4.5342
"2021-01-06",8.3129
"2021-01-07",0
"2021-01-08",1.1563
"2021-01-09",46.1688
"2021-01-10",41.8209
"2021-01-11",32.9837
"2021-01-12",24.0789
"2021-01-13",2.3744
"2021-01-14",11.3713
"2021-01-15",22.2826
"2021-01-16",0
"2021-01-17",0.0899
"2021-01-18",0.4463
"2021-01-19",0
"2021-01-20",0.0068
"2021-01-21",0
"2021-01-22",0
"2021-01-23",0
"2021-01-24",0
"2021-01-25",0
"2021-01-26",0
"2021-01-27",1.1092
"2021-01-28",0
"2021-01-29",19.9896
"2021-01-30",0.9279
"2021-01-31",1.3197
"2021-02-01",5.1107
"2021-02-02",2.0754
"2021-02-03",7.26
"2021-02-04",0.0945
"2021-02-05",0
"2021-02-06",0
"2021-02-07",0
"2021-02-08",0
"2021-02-09",0
"2021-02-10",0
"2021-02-11",0
"2021-02-12",0
"2021-02-13",0
"2021-02-14",0.1958
"2021-02-15",0
"2021-02-16",0
"2021-02-17",0
"2021-02-18",0
"2021-02-19",1.1332
"2021-02-20",0
"2021-02-21",0.058
"2021-02-22",1.2551
"2021-02-23",0
"2021-02-24",0
"2021-02-25",0
"2021-02-26",0.0135
"2021-02-27",0
"2021-02-28",0
"2021-03-01",0
"2021-03-02",0
"2021-03-03",0
"2021-03-04",0
"2021-03-05",0.0027
"2021-03-06",0
"2021-03-07",1.0126
"2021-03-08",6.1311
"2021-03-09",0.3559
"2021-03-10",10.35
"2021-03-11",0
"2021-03-12",0
"2021-03-13",0
"2021-03-14",0.0928
"2021-03-15",0.3502
"2021-03-16",0
"2021-03-17",0
"2021-03-18",0.3396
"2021-03-19",0.2089
"2021-03-20",3.5926
"2021-03-21",2.6259
"2021-03-22",0
"2021-03-23",0.0776
"2021-03-24",2.1795
"2021-03-25",6.4829
"2021-03-26",5.0988
"2021-03-27",2.201
"2021-03-28",1.2185
"2021-03-29",2.8811
"2021-03-30",0
"2021-03-31",0
"2021-04-01",0
"2021-04-02",0
"2021-04-03",0
"2021-04-04",0.5301
"2021-04-05",0
"2021-04-06",0
"2021-04-07",0.0462
"2021-04-08",1.9436
"2021-04-09",7.1603
"2021-04-10",5.781
"2021-04-11",7.9213
"2021-04-12",7.642
"2021-04-13",15.122
"2021-04-14",15.0546
"2021-04-15",16.5922
"2021-04-16",11.1385
"2021-04-17",9.0555
"2021-04-18",1.6352
"2021-04-19",1.1832
"2021-04-20",0.9932
"2021-04-21",4.1049
"2021-04-22",1.1985
"2021-04-23",0
"2021-04-24",7.6826
"2021-04-25",0.0092
"2021-04-26",1.7659
"2021-04-27",2.8487
"2021-04-28",0.9588
"2021-04-29",0.8995
"2021-04-30",10.1357
"2021-05-01",12.4844
"2021-05-02",10.1221
"2021-05-03",8.5708
"2021-05-04",3.6926
"2021-05-05",0.3698
"2021-05-06",3.3105
"2021-05-07",3.5338
"2021-05-08",0.5603
"2021-05-09",11.772
"2021-05-10",13.363
"2021-05-11",1.066
"2021-05-12",1.5103
"2021-05-13",26.6614
"2021-05-14",5.7814
"2021-05-15",0.4769
"2021-05-16",0.1622
"2021-05-17",0.5134
"2021-05-18",1.3181
"2021-05-19",8.8023
"2021-05-20",5.1283
"2021-05-21",8.578
"2021-05-22",12.1032
"2021-05-23",5.3062
"2021-05-24",0.4826
"2021-05-25",5.2895
"2021-05-26",0.0016
"2021-05-27",0
"2021-05-28",0
"2021-05-29",0.0003
"2021-05-30",0.0265
"2021-05-31",0
"2021-06-01",0
"2021-06-02",0.0273
"2021-06-03",4.1804
"2021-06-04",6.205
"2021-06-05",5.5015
"2021-06-06",0.0446
"2021-06-07",0
"2021-06-08",0.4397
"2021-06-09",0
"2021-06-10",0
"2021-06-11",0
"2021-06-12",0.0031
"2021-06-13",0
"2021-06-14",0
"2021-06-15",0.068
"2021-06-16",0
"2021-06-17",0
"2021-06-18",0
"2021-06-19",0
"2021-06-20",0
"2021-06-21",0
"2021-06-22",0.0471
"2021-06-23",0
"2021-06-24",0.0453
"2021-06-25",0.0001
"2021-06-26",0
"2021-06-27",0.5373
"2021-06-28",0
"2021-06-29",0.0832
"2021-06-30",0.0745
"2021-07-01",0.0344
"2021-07-02",0
"2021-07-03",0.0568
"2021-07-04",3.7354
"2021-07-05",3.5688
"2021-07-06",2.9014
"2021-07-07",1.3702
"2021-07-08",3.1479
"2021-07-09",0.3595
"2021-07-10",9.1444
"2021-07-11",3.1591
"2021-07-12",0.1492
"2021-07-13",0.0703
"2021-07-14",4.8014
"2021-07-15",4.0987
"2021-07-16",3.2697
"2021-07-17",10.2264
"2021-07-18",7.3888
"2021-07-19",0
"2021-07-20",0
"2021-07-21",0.1062
"2021-07-22",2.5071
"2021-07-23",0
"2021-07-24",0
"2021-07-25",0
"2021-07-26",0
"2021-07-27",0
"2021-07-28",0
"2021-07-29",0
"2021-07-30",0
"2021-07-31",0.2477
"2021-08-01",0.6
"2021-08-02",0
"2021-08-03",1.0306
"2021-08-04",0
"2021-08-05",0.001
"2021-08-06",0.0182
"2021-08-07",0.2277
"2021-08-08",0.7492
"2021-08-09",0.2422
"2021-08-10",0.1719
"2021-08-11",5.4405
"2021-08-12",3.0928
"2021-08-13",3.4507
"2021-08-14",0.5155
"2021-08-15",4.6972
"2021-08-16",0.3354
"2021-08-17",0.0304
"2021-08-18",3.2303
"2021-08-19",0.7264
"2021-08-20",2.8014
"2021-08-21",7.8859
"2021-08-22",4.83
"2021-08-23",3.3855
"2021-08-24",0.96
"2021-08-25",0.1489
"2021-08-26",0
"2021-08-27",3.0361
"2021-08-28",1.4321
"2021-08-29",0.0773
"2021-08-30",0.129
"2021-08-31",0
"2021-09-01",21.2885
"2021-09-02",14.4185
"2021-09-03",9.4782
"2021-09-04",0.0987
"2021-09-05",0.3954
"2021-09-06",2.2817
"2021-09-07",2.7844
"2021-09-08",0
"2021-09-09",0
"2021-09-10",0.5724
"2021-09-11",0.4646
"2021-09-12",0.0956
"2021-09-13",0
"2021-09-14",0
"2021-09-15",0.095
"2021-09-16",0.7566
"2021-09-17",11.5576
"2021-09-18",8.594
"2021-09-19",8.7926
"2021-09-20",2.5644
"2021-09-21",0.0511
"2021-09-22",24.81
"2021-09-23",11.3681
"2021-09-24",15.2554
"2021-09-25",3.3743
"2021-09-26",3.8023
"2021-09-27",0
"2021-09-28",0
"2021-09-29",3.403
"2021-09-30",16.3547
"2021-10-01",16.3426
"2021-10-02",7.4741
"2021-10-03",15.0458
"2021-10-04",19.2068
"2021-10-05",14.9499
"2021-10-06",0.0485
"2021-10-07",0
"2021-10-08",1.1021
"2021-10-09",6.4225
"2021-10-10",29.3803
"2021-10-11",11.7571
"2021-10-12",1.3307
"2021-10-13",0
"2021-10-14",0
"2021-10-15",0.5079
"2021-10-16",0.0313
"2021-10-17",0.0342
"2021-10-18",0
"2021-10-19",15.7308
"2021-10-20",6.3595
"2021-10-21",5.3595
"2021-10-22",7.6217
"2021-10-23",3.2296
"2021-10-24",12.2219
"2021-10-25",1.3121
"2021-10-26",18.3447
"2021-10-27",13.513
"2021-10-28",16.6625
"2021-10-29",26.219
"2021-10-30",49.1821
"2021-10-31",12.5054
"2021-11-01",20.7649
"2021-11-02",4.1559
"2021-11-03",32.5328
"2021-11-04",18.7476
"2021-11-05",3.4114
"2021-11-06",25.3338
"2021-11-07",23.1743
"2021-11-08",38.5057
"2021-11-09",42.8831
"2021-11-10",7.1116
"2021-11-11",0
"2021-11-12",1.4403
"2021-11-13",8.395
"2021-11-14",5.3355
"2021-11-15",11.6113
"2021-11-16",3.5974
"2021-11-17",36.5436
"2021-11-18",1.0866
"2021-11-19",5.2645
"2021-11-20",0.0006
"2021-11-21",0
"2021-11-22",10.3815
"2021-11-23",21.3662
"2021-11-24",38.2076
"2021-11-25",26.3152
"2021-11-26",22.3786
"2021-11-27",32.6237
"2021-11-28",22.182
"2021-11-29",3.4245
"2021-11-30",0.0558
"2021-12-01",0
"2021-12-02",4.0394
"2021-12-03",0
"2021-12-04",0
"2021-12-05",4.3567
"2021-12-06",1.2804
"2021-12-07",0
"2021-12-08",4.2862
"2021-12-09",0
"2021-12-10",0.0369
"2021-12-11",0
"2021-12-12",1.4041
"2021-12-13",29.0768
"2021-12-14",15.7247
"2021-12-15",0.7123
"2021-12-16",1.6127
"2021-12-17",1.4735
"2021-12-18",7.92
"2021-12-19",0
"2021-12-20",0
"2021-12-21",0.6913
"2021-12-22",0
"2021-12-23",0
"2021-12-24",0
"2021-12-25",0
"2021-12-26",0
"2021-12-27",0
"2021-12-28",0
"2021-12-29",0
"2021-12-30",2.3483
"2021-12-31",0.6643
"2022-01-01",18.608
"2022-01-02",0
"2022-01-03",0.0696
"2022-01-04",0
"2022-01-05",0.6678
"2022-01-06",0
"2022-01-07",0.0093
"2022-01-08",0
"2022-01-09",0.1213
"2022-01-10",3.9977
"2022-01-11",0.3722
"2022-01-12",0
"2022-01-13",0
"2022-01-14",0
"2022-01-15",0
"2022-01-16",0.0091
"2022-01-17",0
"2022-01-18",0
"2022-01-19",0
"2022-01-20",0
"2022-01-21",0
"2022-01-22",0
"2022-01-23",0
"2022-01-24",0
"2022-01-25",0.8868
"2022-01-26",0
"2022-01-27",2.1388
"2022-01-28",0.1805
"2022-01-29",1.0812
"2022-01-30",5.9539
"2022-01-31",0.0087
"2022-02-01",0
"2022-02-02",0
"2022-02-03",0
"2022-02-04",0
"2022-02-05",0
"2022-02-06",0
"2022-02-07",2.0639
"2022-02-08",2.9804
"2022-02-09",4.1752
"2022-02-10",4.5223
"2022-02-11",35.4423
"2022-02-12",16.8942
"2022-02-13",14.9655
"2022-02-14",0
"2022-02-15",0
"2022-02-16",0
"2022-02-17",0
"2022-02-18",0.8618
"2022-02-19",12.053
"2022-02-20",0
"2022-02-21",0
"2022-02-22",0
"2022-02-23",1.225
"2022-02-24",0
"2022-02-25",0
"2022-02-26",0.3004
"2022-02-27",0
"2022-02-28",0
"2022-03-01",0.024
"2022-03-02",9.4229
"2022-03-03",10.3818
"2022-03-04",13.8964
"2022-03-05",0
"2022-03-06",0.9546
"2022-03-07",0.0105
"2022-03-08",0.0142
"2022-03-09",0
"2022-03-10",0
"2022-03-11",0
"2022-03-12",3.6081
"2022-03-13",0
"2022-03-14",0
"2022-03-15",0.5318
"2022-03-16",1.5183
"2022-03-17",12.6838
"2022-03-18",1.1632
"2022-03-19",0
"2022-03-20",0
"2022-03-21",0
"2022-03-22",0.0589
"2022-03-23",0.9063
"2022-03-24",6.8862
"2022-03-25",2.3238
"2022-03-26",0.0037
"2022-03-27",0
"2022-03-28",0.0873
"2022-03-29",3.0459
"2022-03-30",0
"2022-03-31",0
"2022-04-01",1.8253
"2022-04-02",6.3705
"2022-04-03",6.3581
"2022-04-04",3.6358
"2022-04-05",6.6571
"2022-04-06",7.9729
"2022-04-07",11.841
"2022-04-08",12.0288
"2022-04-09",21.7529
"2022-04-10",10.9704
"2022-04-11",13.3354
"2022-04-12",17.4895
"2022-04-13",5.1495
"2022-04-14",11.7665
"2022-04-15",3.6435
"2022-04-16",0.0046
"2022-04-17",5.5608
"2022-04-18",4.0547
"2022-04-19",5.8759
"2022-04-20",0.1955
"2022-04-21",12.4232
"2022-04-22",14.8802
"2022-04-23",8.1431
"2022-04-24",0.1196
"2022-04-25",0
"2022-04-26",0
"2022-04-27",3.188
"2022-04-28",13.788
"2022-04-29",5.1619
"2022-04-30",1.0293
"2022-05-01",0.379
"2022-05-02",2.8588
"2022-05-03",2.0432
"2022-05-04",3.9883
"2022-05-05",3.3121
"2022-05-06",0.6316
"2022-05-07",1.7529
"2022-05-08",8.0132
"2022-05-09",6.5663
"2022-05-10",6.1223
"2022-05-11",0
"2022-05-12",0.0131
"2022-05-13",0.1245
"2022-05-14",0.2974
"2022-05-15",0
"2022-05-16",0.1768
"2022-05-17",0.0475
"2022-05-18",0
"2022-05-19",0
"2022-05-20",0
"2022-05-21",0
"2022-05-22",0
"2022-05-23",0
"2022-05-24",0.0679
"2022-05-25",0
"2022-05-26",0.0313
"2022-05-27",0
"2022-05-28",0.0679
"2022-05-29",0.523
"2022-05-30",0.8262
"2022-05-31",6.2218
"2022-06-01",0
"2022-06-02",0
"2022-06-03",0
"2022-06-04",0
"2022-06-05",0
"2022-06-06",0.4596
"2022-06-07",1.5993
"2022-06-08",0.3242
"2022-06-09",0.7885
"2022-06-10",0
"2022-06-11",0.1555
"2022-06-12",0.0407
"2022-06-13",0.0271
"2022-06-14",0.4503
"2022-06-15",0.287
"2022-06-16",0.352
"2022-06-17",0.2439
"2022-06-18",0.1691
"2022-06-19",0.2652
"2022-06-20",0.3033
"2022-06-21",0.0019
"2022-06-22",0.0134
"2022-06-23",0.0475
"2022-06-24",0
"2022-06-25",0
"2022-06-26",0.0751
"2022-06-27",0.0693
"2022-06-28",0
"2022-06-29",0
"2022-06-30",0
"2022-07-01",0
"2022-07-02",0.5042
"2022-07-03",0
"2022-07-04",0
"2022-07-05",0.0828
"2022-07-06",0.003
"2022-07-07",0.6965
"2022-07-08",0
"2022-07-09",0.0417
"2022-07-10",0.0344
"2022-07-11",0.0131
"2022-07-12",0
"2022-07-13",0
"2022-07-14",0.021
"2022-07-15",0.5066
"2022-07-16",0
"2022-07-17",0.0037
"2022-07-18",0.1596
"2022-07-19",0.796
"2022-07-20",1.0228
"2022-07-21",4.9702
"2022-07-22",4.9429
"2022-07-23",2.3516
"2022-07-24",2.9197
"2022-07-25",5.9933
"2022-07-26",3.4803
"2022-07-27",5.3472
"2022-07-28",10.0641
"2022-07-29",6.6787
"2022-07-30",3.1076
"2022-07-31",9.0154
"2022-08-01",2.7684
"2022-08-02",0.4025
"2022-08-03",1.7815
"2022-08-04",1.9247
"2022-08-05",2.2016
"2022-08-06",3.0535
"2022-08-07",0
"2022-08-08",0.0316
"2022-08-09",0
"2022-08-10",0
"2022-08-11",0
"2022-08-12",0.4265
"2022-08-13",0.6788
"2022-08-14",0
"2022-08-15",0.1072
"2022-08-16",2.0337
"2022-08-17",0.5253
"2022-08-18",0.4399
"2022-08-19",0.1955
"2022-08-20",0.8647
"2022-08-21",0
"2022-08-22",0
"2022-08-23",0.2162
"2022-08-24",2.1716
"2022-08-25",3.881
"2022-08-26",16.0938
"2022-08-27",3.194
"2022-08-28",9.9623
"2022-08-29",17.1971
"2022-08-30",15.0758
"2022-08-31",19.0664
"2022-09-01",8.1462
"2022-09-02",0
"2022-09-03",0.883
"2022-09-04",7.9622
"2022-09-05",17.7966
"2022-09-06",0.359
"2022-09-07",0.0039
"2022-09-08",1.8095
"2022-09-09",0
"2022-09-10",0.1266
"2022-09-11",0
"2022-09-12",0
"2022-09-13",0
"2022-09-14",0
"2022-09-15",0
"2022-09-16",0
"2022-09-17",0
"2022-09-18",0.0001
"2022-09-19",0
"2022-09-20",0
"2022-09-21",0
